# Columns:
# 1: X
# 2: Y
# 3: computed depth
# 4: measured depth
# 5: difference between computed and measured depth
# frame: ./0000_depth.png
# frame: ./0000_sync_depth.png
# frame: ./0001_depth.png
# frame: ./0001_sync_depth.png
# frame: ./0002_depth.png
158 86 1.27802 1.354 -0.075976
159 86 1.27983 1.353 -0.073173
160 86 1.28164 1.352 -0.070365
161 86 1.28345 1.355 -0.0715518
162 86 1.28527 1.358 -0.0727335
163 86 1.28709 1.366 -0.07891
159 87 1.34037 1.349 -0.00863389
160 87 1.34235 1.351 -0.00865061
161 87 1.34434 1.358 -0.0136615
162 87 1.34633 1.367 -0.0206664
160 88 1.4091 1.352 0.0571022
# frame: ./0002_sync_depth.png
# frame: ./0003_depth.png
# frame: ./0003_sync_depth.png
310 136 1.17506 1.244 -0.0689433
311 136 1.24652 1.243 0.00351878
308 137 1.19209 1.247 -0.0549102
309 137 1.2657 1.245 0.0207035
306 138 1.20962 1.257 -0.0473761
307 138 1.28549 1.253 0.032488
304 139 1.22768 1.262 -0.0343185
305 139 1.3059 1.255 0.0509008
302 140 1.24629 1.259 -0.0127135
303 140 1.32697 1.259 0.0679724
299 141 1.19188 1.255 -0.0631227
300 141 1.26546 1.257 0.00846402
297 142 1.20941 1.269 -0.0595948
298 142 1.28524 1.257 0.028241
295 143 1.22746 1.274 -0.0465438
296 143 1.30565 1.269 0.0366459
293 144 1.24605 1.267 -0.0209457
294 144 1.32671 1.27 0.0567092
291 145 1.26522 1.263 0.00222463
# frame: ./0004_depth.png
278 145 1.21883 1.298 -0.0791663
277 146 1.22368 1.3 -0.0763221
278 146 1.22268 1.3 -0.077323
278 147 1.22654 1.299 -0.0724554
279 147 1.22554 1.301 -0.0754609
280 147 1.22454 1.304 -0.0794647
278 148 1.23044 1.3 -0.0695632
279 148 1.22942 1.302 -0.0725751
282 148 1.2264 1.304 -0.0776008
278 149 1.23435 1.302 -0.0676463
279 149 1.23334 1.302 -0.0686646
280 149 1.23232 1.309 -0.0766813
282 149 1.23029 1.31 -0.0797096
285 149 1.22726 1.307 -0.0797396
287 149 1.22525 1.305 -0.0797513
279 150 1.23727 1.304 -0.0667292
280 150 1.23625 1.311 -0.0747523
282 150 1.23421 1.313 -0.0787936
283 150 1.23319 1.311 -0.0778117
284 150 1.23217 1.308 -0.0758282
285 150 1.23116 1.307 -0.0758429
286 150 1.23014 1.308 -0.077856
279 151 1.24123 1.303 -0.0617685
280 151 1.2402 1.305 -0.0647983
281 151 1.23917 1.307 -0.0678263
282 151 1.23815 1.306 -0.0678526
283 151 1.23712 1.306 -0.0688772
284 151 1.2361 1.304 -0.0679001
285 151 1.23508 1.302 -0.0669214
286 151 1.23406 1.303 -0.0689409
287 151 1.23304 1.306 -0.0729588
290 151 1.23 1.309 -0.0790024
291 151 1.22899 1.308 -0.0790135
279 152 1.24522 1.307 -0.0617825
280 152 1.24418 1.308 -0.0638188
281 152 1.24315 1.307 -0.0638534
282 152 1.24211 1.306 -0.0638863
283 152 1.24108 1.307 -0.0659175
284 152 1.24005 1.305 -0.064947
285 152 1.23903 1.305 -0.0659748
286 152 1.238 1.303 -0.0650009
287 152 1.23697 1.306 -0.0690252
288 152 1.23595 1.311 -0.0750479
290 152 1.23391 1.312 -0.0780882
280 153 1.24819 1.305 -0.0568137
281 153 1.24714 1.304 -0.056855
282 153 1.24611 1.304 -0.0578946
283 153 1.24507 1.305 -0.0599324
284 153 1.24403 1.305 -0.0609685
285 153 1.243 1.304 -0.0610029
286 153 1.24196 1.303 -0.0610356
287 153 1.24093 1.306 -0.0650665
288 153 1.2399 1.31 -0.0700957
289 153 1.23888 1.316 -0.0771233
290 153 1.23785 1.313 -0.0751491
291 153 1.23683 1.316 -0.0791732
294 153 1.23376 1.312 -0.0782355
295 153 1.23275 1.31 -0.0772528
296 153 1.23173 1.309 -0.0772686
280 154 1.25222 1.311 -0.0587828
281 154 1.25117 1.308 -0.0568308
282 154 1.25012 1.306 -0.0558771
283 154 1.24908 1.306 -0.0569216
284 154 1.24804 1.307 -0.0589644
285 154 1.24699 1.308 -0.0610055
286 154 1.24596 1.306 -0.0600448
287 154 1.24492 1.308 -0.0630823
288 154 1.24388 1.31 -0.0661182
289 154 1.24285 1.318 -0.0751523
290 154 1.24182 1.32 -0.0781847
292 154 1.23976 1.318 -0.0782444
293 154 1.23873 1.315 -0.0762717
294 154 1.2377 1.312 -0.0742973
295 154 1.23668 1.312 -0.0753212
296 154 1.23566 1.313 -0.0773434
280 155 1.25627 1.308 -0.0517257
281 155 1.25522 1.305 -0.0497806
282 155 1.25417 1.303 -0.0488336
283 155 1.25312 1.303 -0.0498849
284 155 1.25207 1.304 -0.0519344
285 155 1.25102 1.306 -0.0549822
286 155 1.24997 1.306 -0.0560282
287 155 1.24893 1.307 -0.0580725
288 155 1.24788 1.306 -0.058115
289 155 1.24684 1.31 -0.0631558
290 155 1.24581 1.31 -0.0641949
291 155 1.24477 1.311 -0.0662322
